1;даа;да;INTJ;_;_;_;_;_;@ko1985f-words#@ko1985f#557.742#558.682
2;гмм;гм;INTJ;_;_;_;_;_;@ko1985f-words#@ko1985f#559.15#559.73
3;мм;мм;INTJ;_;_;_;_;_;@ko1985f-words#@ko1985f#560.54#560.99
4;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@ko1985f-words#@ko1985f#561.49#561.87
5;тоже;тоже;ADV;_;_;_;_;_;@ko1985f-words#@ko1985f#561.87#562.25
6;такое;такой;DET;_;Case=Nom|Gender=Neut|Number=Sing;_;_;_;@ko1985f-words#@ko1985f#562.25#562.63
7;то;то;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@ko1985f-words#@ko1985f#562.64#562.993
8;что;что;PRON;_;_;_;_;_;@ko1985f-words#@ko1985f#562.993#563.346
9;удивляет;удивлять;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@ko1985f-words#@ko1985f#563.346#563.7
10;подписчиков;подписчик;NOUN;_;Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur;_;_;_;@ko1985f-words#@ko1985f#563.715#564.42
11;очень;очень;ADV;_;_;_;_;_;@ko1985f-words#@ko1985f#564.42#564.85
12;сильно;сильно;ADV;_;Degree=Pos;_;_;_;@ko1985f-words#@ko1985f#564.85#565.28
13;что;что;SCONJ;_;_;_;_;_;@ko1985f-words#@ko1985f#565.91#566.31
14;ээ;ээ;INTJ;_;_;_;_;_;@ko1985f-words#@ko1985f#566.32#566.77
15;наш;наш;PRON;_;Case=Acc|Gender=Masc|Number=Sing;_;_;_;@ko1985f-words#@ko1985f#566.77#567.08
16;контент;контент;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@ko1985f-words#@ko1985f#567.08#567.39
17;он;он;PRON;_;Case=Nom|Gender=Masc|Number=Sing|Person=3;_;_;_;@ko1985f-words#@ko1985f#567.39#567.853
18;часто;часто;ADV;_;Degree=Pos;_;_;_;@ko1985f-words#@ko1985f#567.853#568.316
19;восемнадцать;восемнадцать;NUM;_;Case=Nom;_;_;_;@ko1985f-words#@ko1985f#568.316#568.779
20;плюс;плюс;ADJ;_;_;_;_;_;@ko1985f-words#@ko1985f#568.779#569.245
21;там;там;ADV;_;Degree=Pos;_;_;_;@ko1985f-words#@ko1985f#569.245#569.592
22;есть;быть;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@ko1985f-words#@ko1985f#569.592#569.94
23;секс;секс;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@ko1985f-words#@ko1985f#569.94#570.423
24;наркотики;наркотик;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur;_;_;_;@ko1985f-words#@ko1985f#570.423#570.906
25;насилие;насилие;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@ko1985f-words#@ko1985f#570.906#571.39
26;ии;и;SCONJ;_;_;_;_;_;@ko1985f-words#@ko1985f#571.39#571.98
27;мат;мат;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@ko1985f-words#@ko1985f#571.98#572.57
28;ээ;э;INTJ;_;_;_;_;_;@ko1985f-words#@ko1985f#572.57#573.787
29;до;до;ADP;_;_;_;_;_;@ko1985f-words#@ko1985f#573.787#574.397
30;э;э;INTJ;_;_;_;_;_;@ko1985f-words#@ko1985f#574.397#574.851
31;развода;развод;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@ko1985f-words#@ko1985f#574.851#575.305
32;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;_;_;_;@ko1985f-words#@ko1985f#575.305#575.759
33;озвучивали;озвучивать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@ko1985f-words#@ko1985f#575.759#576.213
34;дома;дома;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur;_;_;_;@ko1985f-words#@ko1985f#576.213#576.667
35;и;и;CCONJ;_;_;_;_;_;@ko1985f-words#@ko1985f#576.667#576.989
36;Тёма;Тём;PROPN;_;Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@ko1985f-words#@ko1985f#576.989#577.312
